iter	Passed	Remaining
436	13053	16817
437	13070	16770
438	13079	16714
439	13089	16659
440	13099	16605
441	13124	16569
442	13142	16524
443	13166	16487
444	13177	16434
445	13190	16384
446	13203	16334
447	13214	16282
448	13238	16245
449	13267	16215
450	13282	16168
451	13296	16120
452	13306	16067
453	13316	16014
454	13326	15962
455	13352	15928
456	13362	15877
457	13382	15837
458	13404	15799
459	13427	15763
460	13445	15720
461	13471	15687
462	13484	15640
463	13501	15596
464	13520	15555
465	13531	15505
466	13545	15459
467	13563	15418
468	13578	15372
469	13589	15324
470	13608	15283
471	13628	15245
472	13652	15211
473	13673	15173
474	13694	15135
475	13704	15086
476	13715	15038
477	13727	14991
478	13744	14949
479	13767	14914
480	13777	14866
481	13799	14829
482	13817	14790
483	13843	14758
484	13859	14716
485	13870	14669
486	13880	14621
487	13903	14586
488	13915	14541
489	13930	14498
490	13944	14455
491	13977	14432
492	14008	14406
493	14029	14369
494	14050	14334
495	14072	14299
496	14096	14266
497	14126	14239
498	14138	14195
499	14162	14162
500	14182	14125
501	14244	14131
502	14369	14198
503	14482	14252
504	14600	14311
505	14718	14369
506	14859	14448
507	15005	14532
508	15103	14569
509	15203	14607
510	15309	14650
511	15445	14721
512	15585	14795
513	15707	14851
514	15858	14934
515	15989	14997
516	16088	15030
517	16196	15070
518	16304	15111
519	16446	15181
520	16585	15248
521	16713	15304
522	16843	15362
523	16949	15397
524	17080	15453
525	17265	15558
526	17423	15638
527	17637	15767
528	17767	15819
529	17857	15835
530	17963	15865
531	18095	15918
532	18342	16071
533	18561	16197
534	18718	16269
535	18818	16290
536	18957	16345
537	19070	16376
538	19150	16379
539	19166	16326
540	19193	16284
541	19219	16241
542	19235	16188
543	19261	16145
544	19278	16094
545	19298	16046
546	19334	16011
547	19353	15963
548	19387	15926
549	19414	15884
550	19437	15839
551	19460	15793
552	19477	15744
553	19487	15688
554	19515	15647
555	19525	15592
556	19544	15544
557	19556	15490
558	19575	15443
559	19588	15391
560	19598	15336
561	19616	15288
562	19633	15239
563	19648	15189
564	19672	15146
565	19682	15092
566	19693	15039
567	19703	14986
568	19719	14937
569	19736	14888
570	19748	14837
571	19758	14784
572	19768	14731
573	19787	14685
574	19798	14633
575	19813	14585
576	19826	14534
577	19836	14482
578	19846	14430
579	19858	14380
580	19882	14338
581	19901	14293
582	19924	14251
583	19949	14210
584	19973	14169
585	20002	14131
586	20015	14082
587	20039	14041
588	20061	13998
589	20086	13958
590	20113	13919
591	20143	13882
592	20159	13836
593	20179	13792
594	20195	13746
595	20213	13701
596	20231	13656
597	20247	13611
598	20269	13569
599	20285	13523
600	20319	13490
601	20344	13450
602	20366	13408
603	20382	13363
604	20405	13322
605	20422	13278
606	20450	13240
607	20463	13193
608	20490	13155
609	20509	13112
610	20533	13072
611	20555	13031
612	20565	12983
613	20584	12940
614	20601	12896
615	20613	12849
616	20622	12801
617	20633	12754
618	20651	12711
619	20668	12668
620	20684	12623
621	20697	12578
622	20717	12536
623	20738	12496
624	20751	12451
625	20765	12406
626	20776	12359
627	20793	12317
628	20812	12275
629	20825	12230
630	20839	12186
631	20854	12143
632	20874	12102
633	20890	12059
634	20921	12025
635	20933	11980
636	20960	11944
637	20978	11903
638	20989	11858
639	21000	11812
640	21022	11774
641	21032	11728
642	21048	11686
643	21058	11641
644	21073	11598
645	21095	11560
646	21105	11515
647	21126	11476
648	21143	11435
649	21157	11392
650	21168	11348
651	21189	11309
652	21206	11269
653	21218	11225
654	21229	11182
655	21240	11138
656	21264	11101
657	21285	11063
658	21305	11024
659	21319	10982
660	21334	10941
661	21354	10903
662	21368	10861
663	21385	10821
664	21401	10781
665	21420	10742
666	21437	10702
667	21455	10663
668	21467	10621
669	21493	10586
670	21519	10551
671	21529	10508
672	21550	10471
673	21565	10430
674	21584	10392
675	21602	10353
676	21618	10314
677	21640	10277
678	21660	10240
679	21674	10199
680	21684	10157
681	21695	10116
682	21715	10078
683	21736	10042
684	21756	10005
685	21784	9971
686	21795	9930
687	21806	9888
688	21818	9848
689	21828	9807
690	21843	9767
691	21867	9733
692	21884	9694
693	21896	9654
694	21908	9614
695	21921	9574
696	21941	9538
697	21957	9500
698	21978	9464
699	22004	9430
700	22023	9393
701	22044	9358
702	22059	9319
703	22072	9280
704	22084	9241
705	22164	9229
706	22231	9213
707	22322	9206
708	22417	9200
709	22533	9203
710	22674	9216
711	22826	9233
712	22930	9229
713	23048	9232
714	23140	9223
715	23241	9218
716	23345	9214
717	23480	9222
718	23585	9217
719	23683	9210
720	23778	9201
721	23896	9200
722	24000	9195
723	24175	9215
724	24262	9203
725	24386	9203
726	24555	9220
727	24658	9213
728	24781	9212
729	24890	9206
730	25008	9202
731	25147	9207
732	25273	9206
733	25369	9193
734	25479	9186
735	25589	9178
736	25682	9164
737	25790	9156
738	25890	9143
739	25973	9125
740	26085	9117
741	26205	9111
742	26348	9113
743	26508	9121
744	26657	9124
745	26767	9113
746	26880	9104
747	27010	9099
748	27065	9069
749	27096	9032
750	27136	8997
751	27179	8963
752	27225	8930
753	27263	8894
754	27292	8856
755	27315	8816
756	27337	8775
757	27362	8735
758	27387	8696
759	27411	8656
760	27449	8620
761	27470	8580
762	27517	8547
763	27577	8518
764	27602	8479
765	27646	8445
766	27688	8411
767	27737	8378
768	27781	8345
769	27803	8304
770	27845	8270
771	27878	8233
772	27923	8200
773	27978	8169
774	28006	8131
775	28045	8095
776	28111	8068
777	28152	8033
778	28177	7993
779	28209	7956
780	28242	7919
781	28264	7879
782	28301	7843
783	28340	7808
784	28377	7772
785	28404	7733
786	28421	7692
787	28465	7658
788	28515	7625
789	28567	7593
790	28610	7559
791	28632	7519
792	28665	7482
793	28691	7443
794	28737	7410
795	28777	7375
796	28799	7335
797	28844	7301
798	28868	7262
799	28903	7225
800	28935	7188
801	28957	7149
802	28982	7110
803	29029	7076
804	29074	7042
805	29111	7007
806	29150	6971
807	29200	6938
808	29244	6904
809	29296	6872
810	29321	6833
811	29360	6797
812	29386	6759
813	29431	6725
814	29449	6684
815	29474	6646
816	29500	6607
817	29534	6571
818	29576	6536
819	29618	6501
820	29654	6465
821	29681	6427
822	29717	6391
823	29758	6356
824	29781	6317
825	29811	6279
826	29848	6243
827	29873	6205
828	29910	6169
829	29939	6132
830	29964	6093
831	30007	6059
832	30034	6021
833	30069	5984
834	30112	5950
835	30139	5912
836	30183	5878
837	30206	5839
838	30235	5802
839	30262	5764
840	30316	5731
841	30359	5697
842	30397	5661
843	30423	5623
844	30470	5589
845	30499	5551
846	30532	5515
847	30559	5477
848	30590	5440
849	30620	5403
850	30656	5367
851	30701	5333
852	30731	5296
853	30764	5259
854	30819	5226
855	30846	5189
856	30890	5154
857	30914	5116
858	30953	5080
859	30985	5044
860	31013	5006
861	31039	4969
862	31078	4933
863	31110	4897
864	31144	4860
865	31186	4825
866	31211	4787
867	31244	4751
868	31284	4716
869	31314	4679
870	31358	4644
871	31399	4609
872	31435	4573
873	31473	4537
874	31509	4501
875	31534	4463
876	31569	4427
877	31596	4390
878	31633	4354
879	31689	4321
880	31725	4285
881	31770	4250
882	31795	4212
883	31833	4177
884	31858	4139
885	31894	4103
886	31930	4067
887	31977	4033
888	32008	3996
889	32039	3959
890	32078	3924
891	32112	3888
892	32136	3850
893	32182	3815
894	32220	3780
895	32256	3744
896	32299	3708
897	32323	3671
898	32343	3633
899	32385	3598
900	32424	3562
901	32449	3525
902	32478	3488
903	32508	3452
904	32550	3416
905	32594	3381
906	32635	3346
907	32678	3310
908	32717	3275
909	32750	3239
910	32805	3204
911	32826	3167
912	32858	3131
913	32893	3095
914	32928	3058
915	32957	3022
916	32979	2985
917	33015	2949
918	33054	2913
919	33078	2876
920	33108	2839
921	33141	2803
922	33184	2768
923	33213	2731
924	33237	2694
925	33276	2659
926	33319	2623
927	33356	2587
928	33379	2551
929	33405	2514
930	33444	2478
931	33480	2442
932	33515	2406
933	33547	2370
934	33578	2334
935	33624	2299
936	33671	2263
937	33700	2227
938	33744	2192
939	33781	2156
940	33817	2120
941	33851	2084
942	33880	2047
943	33923	2012
944	33969	1977
945	33993	1940
946	34025	1904
947	34053	1867
948	34106	1832
949	34131	1796
950	34163	1760
951	34192	1724
952	34226	1687
953	34273	1652
954	34297	1616
955	34339	1580
956	34375	1544
957	34401	1508
958	34432	1472
959	34471	1436
960	34514	1400
961	34550	1364
962	34598	1329
963	34638	1293
964	34669	1257
965	34697	1221
966	34728	1185
967	34783	1149
968	34812	1113
969	34834	1077
970	34882	1041
971	34911	1005
972	34932	969
973	34984	933
974	35013	897
975	35041	861
976	35075	825
977	35112	789
978	35138	753
979	35172	717
980	35191	681
981	35213	645
982	35267	609
983	35310	574
984	35343	538
985	35374	502
986	35426	466
987	35468	430
988	35508	394
989	35550	359
990	35587	323
991	35623	287
992	35644	251
993	35667	215
994	35691	179
995	35718	143
996	35739	107
997	35768	71
998	35801	35
999	35846	0
