iter	Logloss
0	0.6831309819
1	0.6732606674
2	0.6648291879
3	0.6566332038
4	0.6474404949
5	0.6389400919
6	0.6306682081
7	0.6225493638
8	0.6152344803
9	0.6075361779
10	0.6002396077
11	0.5934847675
12	0.586867857
13	0.5809092449
14	0.5747426712
15	0.5684311034
16	0.5625384906
17	0.557302832
18	0.5520097889
19	0.5466389454
20	0.5418111144
21	0.5368679845
22	0.5319447558
23	0.5269874245
24	0.522201481
25	0.517999585
26	0.5134958734
27	0.50904984
28	0.5047945949
29	0.5006927597
30	0.4969527591
31	0.4930631223
32	0.4894123635
33	0.4862057059
34	0.4830390182
35	0.4800882089
36	0.476936678
37	0.4736831319
38	0.470482507
39	0.4675115021
40	0.4646018981
41	0.4618331203
42	0.4591465759
43	0.4566529877
44	0.4540122292
45	0.4515298631
46	0.449144595
47	0.4466762484
48	0.4443325509
49	0.4420727704
50	0.4398569434
51	0.4378203988
52	0.4357526485
53	0.4337891484
54	0.4319145879
55	0.4300975612
56	0.4283019135
57	0.4264762123
58	0.4248784958
59	0.4233213126
60	0.4215332974
61	0.4199166763
62	0.4184839731
63	0.4169896972
64	0.4154883202
65	0.4141533601
66	0.4127045853
67	0.4113121666
68	0.4101488839
69	0.4088972933
70	0.4077375897
71	0.4065412306
72	0.4054101737
73	0.4042680807
74	0.403131764
75	0.4021294194
76	0.4010846805
77	0.3999969398
78	0.3989754654
79	0.3980114267
80	0.3970765565
81	0.3960521649
82	0.3951329471
83	0.3943713379
84	0.3934932325
85	0.3926085892
86	0.3918100877
87	0.3909843319
88	0.3902314213
89	0.3894104553
90	0.3886410331
91	0.3879192941
92	0.3872774321
93	0.386541829
94	0.3858063965
95	0.385178933
96	0.3844794733
97	0.3837573404
98	0.3830408017
99	0.3824558263
100	0.3818915499
101	0.3812263036
102	0.3806109081
103	0.3800237782
104	0.3794254861
105	0.3790215412
106	0.3784432953
107	0.3779367013
108	0.3772939376
109	0.3767110379
110	0.3762068286
111	0.375683158
112	0.3751212318
113	0.3746907718
114	0.3742090816
115	0.3738051747
116	0.3733951163
117	0.3729355885
118	0.3725197152
119	0.3720693832
120	0.3716860986
121	0.3712188036
122	0.3708372473
123	0.3703587535
124	0.3699363726
125	0.3696010414
126	0.3692101827
127	0.3688592154
128	0.3685210683
129	0.368182892
130	0.3679160785
131	0.3674981571
132	0.3671624646
133	0.3667745578
134	0.3664179918
135	0.3661060218
136	0.3658416285
137	0.3655389281
138	0.3652116831
139	0.3648387601
140	0.3645527999
141	0.3642805096
142	0.3640190684
143	0.3637298378
144	0.3634932219
145	0.3632442223
146	0.3629507851
147	0.362666789
148	0.3624068697
149	0.3621620887
150	0.3619441253
151	0.3616905696
152	0.3614472209
153	0.3612519391
154	0.3609577432
155	0.3607262318
156	0.3605355806
157	0.360345842
158	0.3601096983
159	0.3598354863
160	0.359609289
161	0.3593603578
162	0.3591967139
163	0.3589837533
164	0.3587836366
165	0.3585295056
166	0.3582827739
167	0.3581321012
168	0.3580015378
169	0.3577298911
170	0.3575146835
171	0.3573856057
172	0.3571839849
173	0.357024356
174	0.3569032404
175	0.3566925981
176	0.3564463649
177	0.3563002015
178	0.3560905459
179	0.3559141712
180	0.3557229415
181	0.3555533369
182	0.3554013876
183	0.3552466421
184	0.3551073946
185	0.354936375
186	0.3547857824
187	0.3546737734
188	0.3545030347
189	0.354331736
190	0.3542120441
191	0.3540547165
192	0.3539466371
193	0.3537667406
194	0.3536563091
195	0.353524311
196	0.3534150889
197	0.3532581401
198	0.3530907627
199	0.3529694617
200	0.3528938516
201	0.3527875078
202	0.3526151645
203	0.3525073003
204	0.3523270744
205	0.3522383165
206	0.3520849745
207	0.3519512465
208	0.3517576895
209	0.3516242924
210	0.3515493103
211	0.3514450013
212	0.351337194
213	0.351271821
214	0.3511541303
215	0.3510617781
216	0.3510056093
217	0.350865263
218	0.350754522
219	0.3506726837
220	0.3505214696
221	0.3504607512
222	0.3503016569
223	0.3501798405
224	0.3500592077
225	0.349939999
226	0.3498653267
227	0.3497187873
228	0.3496295815
229	0.3495346005
230	0.3494537199
231	0.3493534367
232	0.3492521058
233	0.3491644694
234	0.3490406211
235	0.3489373344
236	0.3488562609
237	0.3487370675
238	0.3486084431
239	0.3485044702
240	0.3484214434
241	0.3483372901
242	0.3482584268
243	0.3481593443
244	0.3480828563
245	0.3480148244
246	0.347941027
247	0.3478566861
248	0.3477639248
249	0.3477008738
250	0.347590852
251	0.347521333
252	0.3474149149
253	0.3472870895
254	0.3472252079
255	0.3471629866
256	0.3470987969
257	0.3470218352
258	0.3469335702
259	0.3468583142
260	0.3467962386
261	0.34674922
262	0.3467012119
263	0.3466367882
264	0.346588432
265	0.3465234515
266	0.346456831
267	0.3463868534
268	0.3463329677
269	0.3462652062
270	0.3461838061
271	0.346084599
272	0.3460157926
273	0.3459805285
274	0.3459012903
275	0.3457987174
276	0.3457340813
277	0.3456422673
278	0.3455579138
279	0.345502056
280	0.3454531235
281	0.3453915914
282	0.3453100797
283	0.3452645727
284	0.345197425
285	0.3451314637
286	0.3450650121
287	0.3450164802
288	0.3449544781
289	0.3448967782
290	0.3448025894
291	0.3447456829
292	0.3447019452
293	0.3446109672
294	0.3445626898
295	0.3445001356
296	0.3444374693
297	0.3443659687
298	0.3443222433
299	0.3442754431
300	0.344222823
301	0.3441678929
302	0.3441211158
303	0.3440504315
304	0.3439984459
305	0.3439244856
306	0.3438679999
307	0.343815765
308	0.343767946
309	0.3437054192
310	0.3436357231
311	0.3435707771
312	0.3435076088
313	0.3434724151
314	0.3434084484
315	0.3433262188
316	0.343276649
317	0.3432048237
318	0.3431601636
319	0.3430972291
320	0.3430593179
321	0.3430112584
322	0.3429454749
323	0.3428932984
324	0.3428456112
325	0.3427896443
326	0.3427362474
327	0.3426943015
328	0.3426487083
329	0.3426099054
330	0.3425527712
331	0.3425064245
332	0.3424629433
333	0.3423973066
334	0.3423287011
335	0.3422893962
336	0.3422441781
337	0.3421795183
338	0.3421173264
339	0.3420702702
340	0.342029376
341	0.3419633489
342	0.3419261493
343	0.3418851665
344	0.3418391097
345	0.3417692849
346	0.3417159809
347	0.3416714309
348	0.3416164776
349	0.3415622176
350	0.3415204378
351	0.3414675529
352	0.3414384729
353	0.3413975876
354	0.3413555503
355	0.3413071854
356	0.3412763946
357	0.3412327262
358	0.3411883149
359	0.3411336734
360	0.3410877015
361	0.3410480209
362	0.3410115685
363	0.3409808617
364	0.3409548842
365	0.3409249475
366	0.3408727758
367	0.340845375
368	0.3408020492
369	0.3407666751
370	0.3407348861
371	0.3407066606
372	0.34066227
373	0.3406132055
374	0.3405688768
375	0.3405256623
376	0.3404842477
377	0.3404465477
378	0.3404025698
379	0.3403610717
380	0.3403159577
381	0.3402719784
382	0.340234978
383	0.3401927972
384	0.3401661443
385	0.3401301394
386	0.3400883303
387	0.340058075
388	0.3400288062
389	0.3399881942
390	0.3399416468
391	0.3399072331
392	0.3398718222
393	0.3398450166
394	0.3397994967
395	0.3397578997
396	0.339722055
397	0.3396983726
398	0.3396559638
399	0.3396300977
400	0.3395964444
401	0.3395935961
402	0.3395573591
403	0.3395295503
404	0.3394790619
405	0.33943632
406	0.3394053768
407	0.3393551847
408	0.3393200547
409	0.339285449
410	0.339245969
411	0.3392102017
412	0.33917388
413	0.3391415482
414	0.3391146231
415	0.3390719604
416	0.3390265794
417	0.338990115
418	0.3389486936
419	0.3389149023
420	0.3388723028
421	0.3388440446
422	0.3388242618
423	0.338795182
424	0.3387748415
425	0.3387500528
426	0.3387216541
427	0.3386909851
428	0.3386599428
429	0.3386222182
430	0.3385714689
431	0.3385341551
432	0.3385016066
433	0.338470315
434	0.3384556834
435	0.3384186145
436	0.3383907499
437	0.3383556472
438	0.3383218697
439	0.338277265
440	0.3382427929
441	0.3382004327
442	0.3381671705
443	0.3381260661
444	0.3380775381
445	0.3380458961
446	0.3380175651
447	0.3379939671
448	0.3379741959
449	0.3379371097
450	0.3379159429
451	0.3378776093
452	0.337840011
453	0.3378031547
454	0.3377764282
455	0.3377562208
456	0.3377222252
457	0.3376970493
458	0.3376679299
459	0.3376436955
460	0.3375968545
461	0.3375694282
462	0.3375344262
463	0.3375064293
464	0.3374699721
465	0.337443349
466	0.3374097179
467	0.3373918294
468	0.3373659316
469	0.3373422633
470	0.3373090967
471	0.3372856658
472	0.3372633501
473	0.3372332152
474	0.3371990254
475	0.3371560911
476	0.3371225936
477	0.3370949019
478	0.3370567161
479	0.3370276687
480	0.3369964889
481	0.3369630835
482	0.3369324697
483	0.3369037716
484	0.3368812707
485	0.3368522372
486	0.3368233689
487	0.3367927758
488	0.336791386
489	0.336766297
490	0.3367357224
491	0.3367042614
492	0.3366737724
493	0.3366519735
494	0.3366230614
495	0.3366016816
496	0.3365745413
497	0.3365463085
498	0.3365265384
499	0.3364879154
500	0.3364630985
501	0.3364379935
502	0.3364174624
503	0.3363850628
504	0.3363492792
505	0.3363202897
506	0.3362880375
507	0.3362591664
508	0.336225082
509	0.3361983093
510	0.3361782311
511	0.3361510355
512	0.3361206316
513	0.3360979596
514	0.3360899514
515	0.3360721748
516	0.3360447774
517	0.3360133873
518	0.3359898529
519	0.3359784354
520	0.3359542906
521	0.3359300747
522	0.3359102883
523	0.3358893548
524	0.3358707944
525	0.3358539458
526	0.3358363747
527	0.3358084976
528	0.3357830863
529	0.3357484611
530	0.3357202007
531	0.3357027049
532	0.3356782322
533	0.3356559814
534	0.3356262485
535	0.335588436
536	0.3355578962
537	0.3355290345
538	0.3354990161
539	0.3354781533
540	0.3354523848
541	0.3354225251
542	0.3353979372
543	0.3353764651
544	0.3353586921
545	0.335343116
546	0.3353214265
547	0.3353000523
548	0.3352782747
549	0.3352507264
550	0.3352327397
551	0.335217872
552	0.3351957519
553	0.3351758507
554	0.3351493712
555	0.3351299997
556	0.3351020269
557	0.3350681677
558	0.3350484245
559	0.3350160982
560	0.3349917673
561	0.3349726621
562	0.3349419113
563	0.3349202382
564	0.3348905476
565	0.3348717426
566	0.3348536839
567	0.3348330741
568	0.3348011054
569	0.334781586
570	0.3347571445
571	0.3347291128
572	0.3347072175
573	0.334679988
574	0.3346643663
575	0.3346355037
576	0.3346195956
577	0.3346027053
578	0.3345765223
579	0.3345602507
580	0.334541217
581	0.3345230031
582	0.3344917917
583	0.3344769562
584	0.3344581224
585	0.3344366014
586	0.3344176064
587	0.3343842578
588	0.3343546575
589	0.3343347265
590	0.3343086052
591	0.3342925678
592	0.3342753235
593	0.3342497174
594	0.3342285374
595	0.3342097104
596	0.3341928712
597	0.3341591916
598	0.3341425678
599	0.3341284153
600	0.3340936349
601	0.3340803604
602	0.3340658826
603	0.3340451315
604	0.3340296554
605	0.3340046358
606	0.3339799453
607	0.3339589211
608	0.3339345761
609	0.3339110306
610	0.3338896373
611	0.3338756428
612	0.333857283
613	0.3338416095
614	0.3338225331
615	0.3337982029
616	0.333775373
617	0.3337508793
618	0.3337319067
619	0.333708021
620	0.3336790747
621	0.3336689344
622	0.3336432868
623	0.3336302454
624	0.3336135758
625	0.3335906162
626	0.3335588934
627	0.3335321796
628	0.3335187995
629	0.3335023881
630	0.3334790649
631	0.3334671072
632	0.3334464334
633	0.3334303859
634	0.3334102968
635	0.3333890863
636	0.3333674578
637	0.3333562168
638	0.3333353389
639	0.3333112731
640	0.3332967725
641	0.3332839141
642	0.3332624014
643	0.3332446709
644	0.3332206997
645	0.3332067733
646	0.3331794848
647	0.3331543805
648	0.333133963
649	0.3331095856
650	0.3330982494
651	0.3330850511
652	0.33306514
653	0.3330488039
654	0.3330360276
655	0.333015817
656	0.3329905938
657	0.3329711861
658	0.3329548398
659	0.3329423983
660	0.3329217733
661	0.3329013562
662	0.3328902488
663	0.332870412
664	0.3328559066
665	0.3328354519
666	0.3328170697
667	0.3327947658
668	0.3327848233
669	0.3327641646
670	0.332737163
671	0.3327317519
672	0.3327142553
673	0.3327007498
674	0.3326898377
675	0.3326738221
676	0.3326657561
677	0.3326554116
678	0.3326342822
679	0.3326216329
680	0.3325942987
681	0.3325703566
682	0.3325466661
683	0.3325353893
684	0.3325201761
685	0.332505424
686	0.3324864072
687	0.3324647378
688	0.332451266
689	0.3324316117
690	0.3324094635
691	0.3323919801
692	0.3323652219
693	0.3323391444
694	0.3323232911
695	0.3323094856
696	0.3322931936
697	0.3322715021
698	0.3322524472
699	0.3322411604
700	0.3322243542
701	0.3322131422
702	0.3321877093
703	0.3321773373
704	0.3321627662
705	0.3321436712
706	0.3321310192
707	0.3321156555
708	0.3320947838
